iter	Passed	Remaining
403	13552	3320
404	13585	3287
405	13617	3253
406	13647	3219
407	13680	3185
408	13711	3151
409	13741	3117
410	13774	3083
411	13805	3049
412	13835	3014
413	13863	2980
414	13894	2946
415	13923	2911
416	13950	2877
417	13977	2842
418	14004	2807
419	14031	2772
420	14057	2738
421	14082	2703
422	14108	2668
423	14134	2633
424	14160	2598
425	14184	2563
426	14210	2529
427	14236	2494
428	14266	2460
429	14295	2426
430	14334	2394
431	14374	2362
432	14403	2328
433	14431	2294
434	14468	2261
435	14497	2227
436	14528	2194
437	14556	2160
438	14588	2126
439	14618	2093
440	14646	2059
441	14674	2025
442	14707	1991
443	14741	1958
444	14771	1925
445	14801	1891
446	14832	1858
447	14862	1824
448	14891	1790
449	14922	1757
450	14960	1724
451	14998	1692
452	15037	1659
453	15104	1630
454	15158	1599
455	15196	1566
456	15228	1532
457	15260	1499
458	15292	1465
459	15326	1432
460	15356	1399
461	15388	1365
462	15418	1332
463	15449	1298
464	15483	1265
465	15514	1231
466	15546	1198
467	15577	1165
468	15609	1131
469	15640	1098
470	15669	1064
471	15704	1031
472	15747	998
473	15786	965
474	15824	932
475	15861	899
476	15899	866
477	15938	833
478	15978	800
479	16014	767
480	16050	734
481	16089	700
482	16124	667
483	16159	634
484	16194	601
485	16230	567
486	16268	534
487	16305	501
488	16340	467
489	16377	434
490	16412	401
491	16447	367
492	16483	334
493	16529	301
494	16577	267
495	16612	234
496	16648	200
497	16689	167
498	16725	134
499	16760	100
500	16793	67
501	16826	33
502	16859	0
