iter	RMSE
232	0.4335143285
233	0.4331101892
234	0.430970219
235	0.4291763864
236	0.4284081813
237	0.4277548346
238	0.4276024846
239	0.4272588452
240	0.4267288839
241	0.4263036549
242	0.425311483
243	0.4248590533
244	0.4247925141
245	0.4235822308
246	0.423381816
247	0.422406524
248	0.4221061701
249	0.4216216148
250	0.4209266672
251	0.4207103968
252	0.4200544886
253	0.4188705018
254	0.4188679978
255	0.4180786362
256	0.4175746323
257	0.4175379476
258	0.4162431524
259	0.414917431
260	0.4136165046
261	0.4125298369
262	0.4116519923
263	0.4116088618
264	0.4099374536
265	0.4093114873
266	0.4077541623
267	0.4071381409
268	0.4064735012
269	0.4064638784
270	0.404827975
271	0.4046356577
272	0.40398481
273	0.403390502
274	0.4010124929
275	0.4006799881
276	0.4003926611
277	0.4003693829
278	0.3995497889
279	0.3979759218
280	0.3979319483
281	0.3968748134
282	0.3968584858
283	0.395215138
284	0.3946613442
285	0.3935966052
286	0.3930598637
287	0.3917066514
288	0.3913164683
289	0.390912542
290	0.3904180604
291	0.3904014674
292	0.3895520859
293	0.3885736358
294	0.388147543
295	0.3878462694
296	0.3875113131
297	0.3870290096
298	0.3865674143
299	0.3858039114
300	0.3858017702
301	0.3857553577
302	0.3846671317
303	0.3843946786
304	0.3835134942
305	0.3823072693
306	0.3820568223
307	0.3817080346
308	0.3816959291
309	0.3816845889
310	0.3814545126
311	0.3808179988
312	0.3803765403
313	0.3800856614
314	0.3797233376
315	0.3795761939
316	0.3787129895
317	0.3771809616
318	0.3767438289
319	0.3753641143
320	0.3748287029
321	0.3741987104
322	0.3741930567
323	0.3733901372
324	0.3724050344
325	0.3711094125
326	0.3710921975
327	0.370750936
328	0.3707297971
329	0.3702612607
330	0.370010945
331	0.3697202228
332	0.3695156463
333	0.3691364976
334	0.3691274375
335	0.3691086164
336	0.3688088453
337	0.3685305322
338	0.3678253374
339	0.3672351251
340	0.3654965022
341	0.3645040698
342	0.3645009295
343	0.3644654369
344	0.3644610266
345	0.3644301138
346	0.3635231348
347	0.3628281753
348	0.3619989696
349	0.3619869247
350	0.3618156112
351	0.3615283087
352	0.3612599472
353	0.3609652811
354	0.3600041386
355	0.3597549318
356	0.3596048876
357	0.3579628353
358	0.3577226659
359	0.3563112921
360	0.3554446748
361	0.3548056563
362	0.3545563741
363	0.3545071423
364	0.3535092298
365	0.3535024318
366	0.3532863919
367	0.3530482061
368	0.3527832319
369	0.3523557702
370	0.3520474851
371	0.3517667111
372	0.3514885766
373	0.3510260666
374	0.3508656042
375	0.3503894022
376	0.3501877125
377	0.3500090738
378	0.3492648976
379	0.3484510064
380	0.3477120966
381	0.346528848
382	0.3455273232
383	0.3446446609
384	0.3446445088
385	0.344624325
386	0.3443450041
387	0.3441690654
388	0.3439762582
389	0.343144681
390	0.3431165836
391	0.3425396086
392	0.3419343963
393	0.3418945703
394	0.3416727501
395	0.3410420178
396	0.3410114398
397	0.3408439464
398	0.3405817553
399	0.3405125933
400	0.3400937693
401	0.3399329379
402	0.3396555061
403	0.3395398187
404	0.3390811131
405	0.3386411018
406	0.3385404276
407	0.3383773618
408	0.3375710977
409	0.3368766863
410	0.3366522512
411	0.336550759
412	0.3358699965
413	0.3357507789
414	0.3357080228
415	0.3351767876
416	0.3351006028
417	0.335059785
418	0.334877674
419	0.333892139
420	0.3335632457
421	0.3335490573
422	0.3328069386
423	0.3326631821
424	0.3319821962
425	0.3319793233
426	0.3317315424
427	0.3309119809
428	0.3306917873
429	0.3302266352
430	0.3301374977
431	0.3300227814
432	0.3300201971
433	0.3298145468
434	0.3297776372
435	0.3293209385
436	0.3286767751
437	0.3279549713
438	0.3279466918
439	0.3278344606
440	0.3277051888
441	0.3275895486
442	0.326803713
443	0.326363965
444	0.3257988714
445	0.3255620575
446	0.3253664503
447	0.3248833326
448	0.324858778
449	0.3246800577
450	0.3246786406
451	0.3244680787
452	0.3243385694
453	0.3240310231
454	0.3239253236
455	0.3230211943
456	0.3225396909
457	0.3222628288
458	0.3219055219
459	0.3217021665
460	0.3214838995
461	0.3211571078
462	0.3205851685
463	0.3200808013
464	0.3200221953
465	0.3189763991
466	0.3181254229
467	0.3176546505
468	0.3175456017
469	0.3174275883
470	0.3172371598
471	0.317084336
472	0.3168856882
473	0.3168590458
474	0.3160504069
475	0.3151517819
476	0.3150532747
477	0.3147600905
478	0.3143447749
479	0.313857101
480	0.3133964347
481	0.3133468332
482	0.3130208738
483	0.3123844646
484	0.3123057028
485	0.3122696778
486	0.3115372663
487	0.3115222445
488	0.3110169616
489	0.3107801494
490	0.3107347524
491	0.3104754673
492	0.3104069733
493	0.3103290088
494	0.3098329613
495	0.3090733129
496	0.3083610739
497	0.30816082
498	0.3076008094
499	0.307312358
500	0.3067583984
501	0.3062308076
502	0.3059783974
